vendor_action,action,result
Account Lockout,acl_modified,locked by policy
Add *,created,
Add *,created,
Add *,created,
Add *,created,
Add *,created,
Add to *,updated,
Add to *,updated,
Create*,created,
Create*,created,
Create*,created,
Deactivat*,acl_modified,
Deactivat*,acl_modified,
Delete*,deleted,
Delete*,deleted,
Delete*,deleted,
Delete*,deleted,
Delete*,deleted,
Destroy All Sessions,deleted,
Disabled*,stopped,
Disabled*,stopped,
Disabled*,stopped,
Disabled*,stopped,
Disabled*,stopped,
Disabled *,stopped,
Edit Group,modified,
Edit Policy,modified,
Edit Secure Note,modified,
Employee Account Created,created,
Employee Account Deleted,deleted,
Employee Account Requires Activation,,user provisioning policy enforced
Employee Invited,,
Enterprise API Secret regenerated,updated,
Failed Login Attempt,,
Form Filled,read,
Get *,read,
Get *,read,
Group Addition,updated,
Group Removal,updated,
Iterations Changed,modified,
LastPass Login,,
Limit Shared Folder,modified,
Log in,,
Login,,
Login to Admin Console,,
Login Verification Email Sent,,user provisioning policy enforced
Make Admin,acl_modified,
Master Password Changed,modified,
Master Password Reuse,,
Move from Shared Folder,modified,
Move to Shared Folder,modified,
Multifactor Enabled,updated,
Open Secure Note,read,
Password Changed,modified,
Password Reset,modified,
Password Reuse,,
Permanently Deleted Shared Folder,deleted,
Personal Share,,
Provisioning credential changed,modified,
Provisioning service added,created,
Provisioning service removed,deleted,
Provisioning sync happened,read,
Re-invite User,,
Reactivated User,acl_modified,
Remove*,deleted,
Remove*,deleted,
Remove*,deleted,
Remove*,deleted,
Remove*,deleted,
Remove*,deleted,
Rename*,modified,
Rename*,modified,
Reporting,read,
Require Password Change,,user provisioning policy enforced
Restored Shared Folder,updated,
SAML Login,,
SCIM Provisioning Hash Updated,updated,
Sharing key updated,updated,
Site Added,created,
Site Changed,modified,
Stop Requiring Password Change,modified,
Update *,updated,
Update *,updated,
User deprovisioned,acl_modified,
User provisioned,created,
Username Changed,modified,